,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
0,5.909,7.117,7.344,6.865,6.6,8.44,8.924,9.801,9.269
1,5.719,6.925,7.109,7.179,6.281,9.318,8.654,9.627,9.982
2,6.785,6.887,7.203,7.149,7.62,9.293,8.61,9.651,10.209
3,6.819,5.885,6.008,7.143,7.784,8.076,9.665,8.672,10.086
4,6.762,5.888,6.009,6.021,6.625,7.991,9.664,8.254,9.016
5,5.752,6.982,7.025,6.013,6.536,9.177,8.601,9.927,8.963
6,5.737,6.845,7.005,7.088,6.232,9.169,8.821,9.611,10.074
7,6.722,6.92,6.961,7.186,7.271,8.308,8.676,8.646,10.082
8,6.682,5.85,5.939,7.191,7.247,8.303,9.866,8.254,10.015
9,6.685,6.067,5.93,6.181,6.264,8.326,9.176,9.608,8.963
10,5.782,6.906,6.924,6.308,6.524,9.304,8.105,9.306,8.968
11,5.723,6.893,6.99,6.224,6.537,9.553,8.272,9.274,10.058
12,5.672,6.849,6.801,7.281,7.604,9.274,8.28,9.64,8.844
13,6.711,5.891,6.051,7.27,7.567,8.212,9.197,8.605,8.937
14,6.715,5.962,6.006,6.523,7.643,8.249,9.278,9.714,9.006
15,5.676,5.957,6.962,6.526,6.303,9.171,8.29,9.493,9.837
16,5.702,6.91,6.973,6.533,6.286,9.298,8.273,9.264,9.805
17,5.729,6.94,6.962,7.497,7.444,9.302,9.551,8.238,8.8
18,6.735,5.846,5.948,7.226,7.323,8.262,9.28,8.197,8.832
19,6.741,5.925,6.028,6.532,7.212,8.269,8.629,8.202,8.935
20,5.731,5.924,6.007,6.239,6.207,9.308,9.192,9.187,10.156
21,5.715,6.901,6.988,6.166,6.179,9.564,9.272,9.247,8.97
22,5.704,6.874,6.946,7.145,7.225,9.298,9.261,8.262,9.948
23,6.744,5.845,5.934,7.044,7.215,8.287,8.658,8.283,10.494
24,6.747,5.938,5.905,6.128,7.254,8.249,9.617,8.587,11.1
25,5.695,6.021,5.905,6.143,6.212,9.304,9.702,9.328,8.925
26,5.73,6.842,6.999,6.167,6.188,9.299,9.273,9.256,8.925
27,5.691,6.961,6.986,7.393,7.209,9.239,8.057,8.218,10.11
28,6.682,5.878,6.007,7.28,7.258,8.081,8.177,8.289,10.076
29,6.683,5.852,5.987,7.371,7.329,8.205,9.53,9.272,8.946
30,7.749,5.821,5.966,6.266,6.284,9.369,9.236,8.495,10.152
31,5.729,6.804,6.995,6.268,6.249,9.22,8.192,8.598,10.154
32,5.712,6.862,7.1,7.305,7.575,9.295,8.057,8.656,10.19
33,6.711,6.832,6.028,7.298,7.336,8.132,8.039,9.574,8.995
34,6.723,5.891,5.981,7.348,7.451,7.997,9.243,9.596,9.001
35,6.7,5.826,5.992,6.65,6.434,8.953,8.226,10.263,10.021
36,5.747,6.875,6.939,6.525,6.65,8.929,8.709,8.294,10.048
37,5.792,6.896,6.986,7.485,6.494,7.979,8.626,9.264,10.005
38,6.716,6.863,7.014,7.522,7.473,8.156,9.636,9.263,9.001
39,6.971,5.973,6.056,7.314,7.221,8.153,9.658,9.503,10.101
40,6.789,5.869,6.027,6.308,6.522,9.02,8.602,8.214,10.063
41,5.723,6.929,7.04,6.525,6.666,9.242,8.623,8.46,10.051
42,5.698,6.894,6.975,7.493,6.641,8.321,8.702,9.68,8.938
43,6.739,6.954,7.056,7.265,7.635,8.147,9.544,9.694,8.866
44,6.736,5.881,5.958,7.268,7.629,8.151,9.161,8.213,9.16
45,6.659,6.027,5.928,6.16,6.533,9.097,8.162,8.183,10.35
46,5.641,6.925,7.138,6.097,6.481,9.141,8.065,9.152,10.072
